deployment_project_reference,datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id
JBC,OTN-Global,JBC-SMITH SOUND 4-VR2-6822-4,OTN-GlobalJBCJBC-SMITH SOUND 4-VR2-6822-4,VEMCO,VR2,6822,48.18363,-53.85258,2007-11-12T14:26:00Z,2008-01-30T02:40:00Z,JBC,ManmadePlatform,JBC_JBC-SMITH SOUND 4
JBC,OTN-Global,JBC-SMITH SOUND 4-VR2-6822-5,OTN-GlobalJBCJBC-SMITH SOUND 4-VR2-6822-5,VEMCO,VR2,6822,48.18352,-53.85282,2008-01-30T02:55:00Z,2008-04-23T20:15:00Z,JBC,ManmadePlatform,JBC_JBC-SMITH SOUND 4
JBC,OTN-Global,JBC-SMITH SOUND 4-VR2-6822-6,OTN-GlobalJBCJBC-SMITH SOUND 4-VR2-6822-6,VEMCO,VR2,6822,48.18352,-53.85282,2008-04-23T20:30:00Z,2008-06-28T13:55:00Z,JBC,ManmadePlatform,JBC_JBC-SMITH SOUND 4
JBC,OTN-Global,JBC-SMITH SOUND 4-VR2-6822-8,OTN-GlobalJBCJBC-SMITH SOUND 4-VR2-6822-8,VEMCO,VR2,6822,48.18212,-53.85495,2008-07-23T14:00:00Z,2008-10-15T12:30:00Z,JBC,ManmadePlatform,JBC_JBC-SMITH SOUND 4
JBC,OTN-Global,JBC-SMITH SOUND 4-VR2-6822-9,OTN-GlobalJBCJBC-SMITH SOUND 4-VR2-6822-9,VEMCO,VR2,6822,48.17982,-53.8452,2008-10-15T15:08:00Z,2008-11-09T21:50:00Z,JBC,ManmadePlatform,JBC_JBC-SMITH SOUND 4
JBC,OTN-Global,JBC-SMITH SOUND 4-VR2-6822-10,OTN-GlobalJBCJBC-SMITH SOUND 4-VR2-6822-10,VEMCO,VR2,6822,48.17972,-53.84405,2008-11-09T21:54:00Z,2009-08-19T18:45:00Z,JBC,ManmadePlatform,JBC_JBC-SMITH SOUND 4
JBC,OTN-Global,JBC-BONAVISTA 3-VR2-6822-1,OTN-GlobalJBCJBC-BONAVISTA 3-VR2-6822-1,VEMCO,VR2,6822,48.71022,-53.14085,2006-04-03T19:13:00Z,2006-06-07T20:29:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 3
JBC,OTN-Global,JBC-BONAVISTA 3-VR2-6822-2,OTN-GlobalJBCJBC-BONAVISTA 3-VR2-6822-2,VEMCO,VR2,6822,48.71012,-53.14012,2006-06-07T20:44:00Z,2007-06-27T18:30:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 3
JBC,OTN-Global,JBC-SMITH SOUND 4-VR2-6822-7,OTN-GlobalJBCJBC-SMITH SOUND 4-VR2-6822-7,VEMCO,VR2,6822,48.19043,-53.81872,2008-06-28T14:10:00Z,2008-07-23T13:59:00Z,JBC,ManmadePlatform,JBC_JBC-SMITH SOUND 4
JBC,OTN-Global,JBC-BONAVISTA 4-VR2-6823-1,OTN-GlobalJBCJBC-BONAVISTA 4-VR2-6823-1,VEMCO,VR2,6823,48.72097,-53.161,2006-04-03T19:26:00Z,2007-06-27T18:45:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 4
JBC,OTN-Global,JBC-BONAVISTA 4-VR2-6823-2,OTN-GlobalJBCJBC-BONAVISTA 4-VR2-6823-2,VEMCO,VR2,6823,48.71923,-53.15588,2007-06-27T19:00:00Z,1900-01-01T00:00:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 4
JBC,OTN-Global,JBC-BONAVISTA 5-VR2-6824-1,OTN-GlobalJBCJBC-BONAVISTA 5-VR2-6824-1,VEMCO,VR2,6824,48.72968,-53.18282,2006-04-03T19:39:00Z,2007-06-27T19:15:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 5
